ITEM,TECH NUMBER,ACTIVITY CSG NUMBER,ACTIVITY CLOSED DATE,LINE AMOUNT
MULTI-SWITCH KA 6X8,MASC998231,1-1LZ6O2YQ,4/21/2014,0
IRD - STANDARD,MASC998231,1-1LZ6O2YQ,4/21/2014,19
IRD - STANDARD,MASC998231,1-1LZ6O2YQ,4/21/2014,19
ODU UPGRADE,MASC998231,1-1LZ6O2YQ,4/21/2014,22
MULTI-SWITCH 2X4,MASC998231,1-1LZ6O2YQ,4/21/2014,0
KA/KU LNB SWM 3,MASC995569,1-1M03C4D2,4/21/2014,0
ODU UPGRADE,MASC995569,1-1M03C4D2,4/21/2014,22
Swap Replace,MASC995569,1-1M03C4D2,4/21/2014,5
KA/KU LNB SWM 3,MASC907665,1-1LYE8MV6,4/21/2014,0
SUBSIDY,MASC913802,1-1LYKB2KS,4/19/2014,0
Upgrade,MASC998231,1-1LZ56LXC,4/19/2014,25
SUBSIDY,MASC998231,1-1LZ56LXC,4/19/2014,0
Former Install,MASC998231,1-1LYBB816,4/19/2014,60
Upgrade,MASC997093,1-1LZAU9LM,4/19/2014,25
SUBSIDY,MASC997093,1-1LZAU9LM,4/19/2014,0
Service,MASC997093,1-1LZGRNVP,4/19/2014,37
SUBSIDY,MASC997093,1-1LZGRNVP,4/19/2014,0
Upgrade,MASC996962,1-1LV7QMQQ,4/19/2014,25
SUBSIDY,MASC996962,1-1LV7QMQQ,4/19/2014,0
Upgrade,MASC995569,1-1LU8KKD2,4/19/2014,25
New Install,MASC906491,1-1LXPO7N0,4/19/2014,60
SUBSIDY,MASC906491,1-1LXPO7N0,4/19/2014,0
Service,MASC913802,1-1LYEGMQJ,4/19/2014,37
SUBSIDY,MASC913802,1-1LYEGMQJ,4/19/2014,0
Upgrade,MASC995439,1-1M4QL3ZL,4/25/2014,25
SUBSIDY,MASC995439,1-1M4QL3ZL,4/25/2014,0
SUBSIDY,MASC994575,1-1M3Y6JIF,4/25/2014,0
New Install,MASC911659,1-1LWB8QPT,4/25/2014,60
Service,MASC995439,1-1M4T3VTT,4/25/2014,37
SUBSIDY,MASC995439,1-1M4T3VTT,4/25/2014,0
Former Install,MASC997565,1-1M4TDX7J,4/25/2014,60
SUBSIDY,MASC997565,1-1M4TDX7J,4/25/2014,0
Service,MASC996962,1-1M4TFQP5,4/25/2014,37
SUBSIDY,MASC996962,1-1M4TFQP5,4/25/2014,0
Former Install,MASC906491,1-1M2V6CEL,4/25/2014,60
SUBSIDY,MASC906491,1-1M2V6CEL,4/25/2014,0
Upgrade,MASC998237,1-1M4IB92E,4/25/2014,25
SUBSIDY,MASC998237,1-1M4IB92E,4/25/2014,0
New Install,MASC999035,1-1M4YMJS4,4/25/2014,60
SUBSIDY,MASC999035,1-1M4YMJS4,4/25/2014,0
New Install,MASC995569,1-1M1L87LR,4/25/2014,60
SUBSIDY,MASC995569,1-1M1L87LR,4/25/2014,0
Former Install,MASC996962,1-1M2FE6A3,4/24/2014,60
SUBSIDY,MASC996962,1-1M2FE6A3,4/24/2014,0
Upgrade,MASC907665,1-1M2KHBVO,4/24/2014,25
SUBSIDY,MASC907665,1-1M2KHBVO,4/24/2014,0
New Install,MASC994575,1-1M33FMXM,4/24/2014,60
SUBSIDY,MASC994575,1-1M33FMXM,4/24/2014,0
SUBSIDY,MASC995144,1-1M3N3XT7,4/24/2014,0
Upgrade,MASC998237,1-1M2A2QO6,4/24/2014,25
SUBSIDY,MASC998237,1-1M2A2QO6,4/24/2014,0
Upgrade,MASC998231,1-1M3EYDEO,4/24/2014,25
SUBSIDY,MASC998231,1-1M3EYDEO,4/24/2014,0
New Install,MASC906491,1-1M3WW36U,4/24/2014,60
SUBSIDY,MASC906491,1-1M3WW36U,4/24/2014,0
New Install,MASC995214,1-1M44FLGV,4/24/2014,60
SUBSIDY,MASC995214,1-1M44FLGV,4/24/2014,0
Former Install,MASC995439,1-1LVO4HNI,4/24/2014,60
Upgrade,MASC999035,1-1M1Q8PO8,4/24/2014,25
SUBSIDY,MASC999035,1-1M1Q8PO8,4/24/2014,0
Upgrade,MASC994575,1-1M33XCWA,4/24/2014,25
SUBSIDY,MASC994575,1-1M33XCWA,4/24/2014,0
SUBSIDY,MASC995439,1-1LVO4HNI,4/24/2014,0
New Install,MASC998397,1-1LXA4E4O,4/24/2014,60
New Install,MASC995196,1-1M1V1G18,4/24/2014,60
KA/KU LNB LABOR,MASC998231,1-1M1VHX1G,4/24/2014,17
NON DIRECTV EQUIPMENT,MASC994575,1-1M33XCWA,4/24/2014,22
KA/KU LNB SWM 3,MASC999035,1-1LYTM2YY,4/24/2014,0
IRD - CLIENT,MASC999035,1-1LYTM2YY,4/24/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC999035,1-1LYTM2YY,4/24/2014,19
SWM ODU HARDWARE,MASC999035,1-1LYTM2YY,4/24/2014,0
KA/KU LNB SWM LABOR,MASC999035,1-1LYTM2YY,4/24/2014,8
System Swap,MASC999035,1-1M1Q8PO8,4/24/2014,5
KA/KU LNB 3,MASC999035,1-1M1Q8PO8,4/24/2014,0
ODU UPGRADE,MASC999035,1-1M1Q8PO8,4/24/2014,22
ODU HARDWARE,MASC999035,1-1M1Q8PO8,4/24/2014,0
KA/KU LNB LABOR,MASC999035,1-1M1Q8PO8,4/24/2014,17
KA/KU LNB SWM 3,MASC995439,1-1LVO4HNI,4/24/2014,0
IRD - HD/DVR COMBO,MASC995439,1-1LVO4HNI,4/24/2014,19
IRD - KA/KU,MASC995064,1-1LZ8PJ3N,4/24/2014,19
ODU RELOCATE,MASC995064,1-1LZ8PJ3N,4/24/2014,18
SWM ODU HARDWARE,MASC995064,1-1LZ8PJ3N,4/24/2014,0
BROADBAND DECA-T1,MASC995064,1-1LZ8PJ3N,4/24/2014,19
MRV ENABLED,MASC995064,1-1LZ8PJ3N,4/24/2014,0
MULTI-SWITCH SWM 16,MASC999035,1-1LYTM2YY,4/24/2014,0
MRV ENABLED,MASC999035,1-1LYTM2YY,4/24/2014,0
Swap Replace,MASC911659,1-1M3Q3VMS,4/24/2014,5
Swap Relocate,MASC911659,1-1M3Q3VMS,4/24/2014,5
Swap Replace,MASC911659,1-1M3Q3VMS,4/24/2014,5
IRD - STANDARD,MASC911659,1-1M3Q3VMS,4/24/2014,19
KA/KU LNB SWM 3,MASC999035,1-1M1Q8PO8,4/24/2014,0
NON DIRECTV EQUIPMENT,MASC999035,1-1M1Q8PO8,4/24/2014,22
MRV ENABLED,MASC999035,1-1M1Q8PO8,4/24/2014,0
IRD - KA/KU,MASC995439,1-1LVO4HNI,4/24/2014,19
IRD - KA/KU,MASC995439,1-1LVO4HNI,4/24/2014,19
IRD - KA/KU,MASC995439,1-1LVO4HNI,4/24/2014,19
SWM ODU HARDWARE,MASC995439,1-1LVO4HNI,4/24/2014,0
KA/KU LNB SWM LABOR,MASC995439,1-1LVO4HNI,4/24/2014,8
MRV ENABLED,MASC995439,1-1LVO4HNI,4/24/2014,0
KA/KU LNB LABOR,MASC911659,1-1M3Q3VMS,4/24/2014,17
System Swap,MASC995214,1-1M3Q8MRA,4/24/2014,5
System Swap,MASC995214,1-1M3Q8MRA,4/24/2014,5
KA/KU LNB SWM 3,MASC998237,1-1M3QF8CA,4/24/2014,0
SWM ODU HARDWARE,MASC998237,1-1M3QF8CA,4/24/2014,0
KA/KU LNB SWM LABOR,MASC998237,1-1M3QF8CA,4/24/2014,8
RECEIVER DECA,MASC995214,1-1M3Q8MRA,4/24/2014,0
KA/KU LNB SWM 3,MASC995214,1-1M3Q8MRA,4/24/2014,0
ODU UPGRADE,MASC995214,1-1M3Q8MRA,4/24/2014,22
ODU RELOCATE,MASC995214,1-1M3Q8MRA,4/24/2014,18
MRV ENABLED,MASC995214,1-1M3Q8MRA,4/24/2014,0
IRD - ADVANCED WHOLE-HOME DVR,MASC998237,1-1M3QF8CA,4/24/2014,19
IRD - KA/KU,MASC907665,1-1M2KHBVO,4/24/2014,19
KA/KU LNB SWM 3,MASC907665,1-1M2KHBVO,4/24/2014,0
ODU UPGRADE,MASC907665,1-1M2KHBVO,4/24/2014,22
KA/KU LNB SWM 3,MASC995214,1-1M3ITLVE,4/24/2014,0
IRD - KA/KU,MASC995214,1-1M3ITLVE,4/24/2014,19
IRD - HD/DVR COMBO,MASC995214,1-1M3ITLVE,4/24/2014,19
IRD - KA/KU,MASC995214,1-1M3ITLVE,4/24/2014,19
IRD - KA/KU,MASC995214,1-1M3ITLVE,4/24/2014,19
SWM ODU HARDWARE,MASC995214,1-1M3ITLVE,4/24/2014,0
KA/KU LNB SWM LABOR,MASC995214,1-1M3ITLVE,4/24/2014,8
RECEIVER DECA,MASC995214,1-1M3ITLVE,4/24/2014,0
KA/KU LNB 3,MASC998231,1-1M3EYDEO,4/24/2014,0
ODU UPGRADE,MASC998231,1-1M3EYDEO,4/24/2014,22
ODU HARDWARE,MASC998231,1-1M3EYDEO,4/24/2014,0
KA/KU LNB LABOR,MASC998231,1-1M3EYDEO,4/24/2014,17
Swap Replace,MASC998231,1-1M3EYDEO,4/24/2014,5
NON DIRECTV EQUIPMENT,MASC907665,1-1M2KHBVO,4/24/2014,22
MRV ENABLED,MASC907665,1-1M2KHBVO,4/24/2014,0
KA/KU LNB SWM 3,MASC995064,1-1M3PYCVK,4/24/2014,0
ODU UPGRADE,MASC995064,1-1M3PYCVK,4/24/2014,22
IRD - WIRELESS CLIENT,MASC995064,1-1M3PYCVK,4/24/2014,4
WIRELESS VIDEO BRIDGE,MASC995064,1-1M3PYCVK,4/24/2014,15.25
ODU RELOCATE,MASC995064,1-1M3PYCVK,4/24/2014,18
MULTI-SWITCH SWM 16,MASC995064,1-1M3PYCVK,4/24/2014,0
MRV ENABLED,MASC995214,1-1M3ITLVE,4/24/2014,0
Swap Replace,MASC995214,1-1M4I4WWJ,4/24/2014,5
Swap Replace,MASC995214,1-1M4I4WWJ,4/24/2014,5
Swap Replace,MASC995214,1-1M4I4WWJ,4/24/2014,5
Swap Replace,MASC995214,1-1M4I4WWJ,4/24/2014,5
ODU UPGRADE,MASC995214,1-1M4I4WWJ,4/24/2014,22
KA/KU LNB LABOR,MASC998231,1-1M3EYDEO,4/24/2014,17
KA/KU LNB SWM 3,MASC998231,1-1M3EYDEO,4/24/2014,0
BS FILTER,MASC998231,1-1M3EYDEO,4/24/2014,0
MRV ENABLED,MASC998231,1-1M3EYDEO,4/24/2014,0
MRV ENABLED,MASC995064,1-1M3PYCVK,4/24/2014,0
"""ODU - 18""""""",MASC998397,1-1LXA4E4O,4/24/2014,0
IRD - STANDARD,MASC998397,1-1LXA4E4O,4/24/2014,19
IRD - STANDARD,MASC998397,1-1LXA4E4O,4/24/2014,19
MULTI-SWITCH 2X4,MASC998397,1-1LXA4E4O,4/24/2014,0
KA/KU LNB SWM 3,MASC994575,1-1M3WK9WS,4/24/2014,0
SWM ODU HARDWARE,MASC994575,1-1M3WK9WS,4/24/2014,0
KA/KU LNB SWM LABOR,MASC994575,1-1M3WK9WS,4/24/2014,8
IRD - CLIENT,MASC994575,1-1M3WK9WS,4/24/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC994575,1-1M3WK9WS,4/24/2014,19
KA/KU LNB SWM 3,MASC996962,1-1M1QJRAG,4/24/2014,0
SWM ODU HARDWARE,MASC996962,1-1M1QJRAG,4/24/2014,0
KA/KU LNB SWM LABOR,MASC996962,1-1M1QJRAG,4/24/2014,8
IRD - ADVANCED WHOLE-HOME DVR,MASC911659,1-1M3PXJ42,4/24/2014,19
KA/KU LNB SWM 3,MASC911659,1-1M3PXJ42,4/24/2014,0
SWM ODU HARDWARE,MASC911659,1-1M3PXJ42,4/24/2014,0
KA/KU LNB SWM LABOR,MASC911659,1-1M3PXJ42,4/24/2014,8
IRD - CLIENT,MASC911659,1-1M3PXJ42,4/24/2014,15.25
KA/KU LNB SWM 3,MASC995569,1-1LQORFQC,4/24/2014,0
"""ODU - 18""""""",MASC995196,1-1M1V1G18,4/24/2014,0
MULTI-SWITCH 2X4,MASC995196,1-1M1V1G18,4/24/2014,0
IRD - STANDARD,MASC995196,1-1M1V1G18,4/24/2014,19
IRD - STANDARD,MASC995196,1-1M1V1G18,4/24/2014,19
IRD - STANDARD,MASC995196,1-1M1V1G18,4/24/2014,19
"""ODU - 18""""""",MASC994575,1-1M33FMXM,4/24/2014,0
IRD - STANDARD,MASC994575,1-1M33FMXM,4/24/2014,19
IRD - STANDARD,MASC994575,1-1M33FMXM,4/24/2014,19
MULTI-SWITCH 2X4,MASC994575,1-1M33FMXM,4/24/2014,0
"""ODU - 18""""""",MASC906491,1-1M3WW36U,4/24/2014,0
IRD - HD/DVR COMBO,MASC996962,1-1M1QJRAG,4/24/2014,19
IRD - KA/KU,MASC996962,1-1M1QJRAG,4/24/2014,19
RECEIVER DECA,MASC996962,1-1M1QJRAG,4/24/2014,0
MRV ENABLED,MASC996962,1-1M1QJRAG,4/24/2014,0
IRD - CLIENT,MASC995569,1-1LQORFQC,4/24/2014,15.25
IRD - CLIENT,MASC995569,1-1LQORFQC,4/24/2014,15.25
IRD - CLIENT,MASC995569,1-1LQORFQC,4/24/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC995569,1-1LQORFQC,4/24/2014,19
SWM ODU HARDWARE,MASC995569,1-1LQORFQC,4/24/2014,0
KA/KU LNB SWM LABOR,MASC995569,1-1LQORFQC,4/24/2014,8
ODU UPGRADE,MASC995439,1-1M30SF3Q,4/24/2014,22
MULTI-SWITCH SWM 8,MASC995439,1-1M30SF3Q,4/24/2014,0
IRD - STANDARD,MASC906491,1-1M3WW36U,4/24/2014,19
IRD - STANDARD,MASC906491,1-1M3WW36U,4/24/2014,19
MULTI-SWITCH 2X4,MASC906491,1-1M3WW36U,4/24/2014,0
KA/KU LNB SWM 3,MASC995214,1-1M44FLGV,4/24/2014,0
IRD - KA/KU,MASC995214,1-1M44FLGV,4/24/2014,19
IRD - KA/KU,MASC995214,1-1M44FLGV,4/24/2014,19
SWM ODU HARDWARE,MASC995214,1-1M44FLGV,4/24/2014,0
KA/KU LNB SWM LABOR,MASC995214,1-1M44FLGV,4/24/2014,8
Swap Replace,MASC995439,1-1M30SF3Q,4/24/2014,5
NON DIRECTV EQUIPMENT,MASC995439,1-1M30SF3Q,4/24/2014,22
KA/KU LNB SWM 3,MASC995439,1-1M30SF3Q,4/24/2014,0
MRV ENABLED,MASC995439,1-1M30SF3Q,4/24/2014,0
System Swap,MASC998237,1-1M2A2QO6,4/24/2014,5
MULTI-SWITCH SWM 8,MASC998237,1-1M2A2QO6,4/24/2014,0
MRV ENABLED,MASC998237,1-1M2A2QO6,4/24/2014,0
MRV ENABLED,MASC995214,1-1M44FLGV,4/24/2014,0
Swap Replace,MASC906491,1-1M40P2O6,4/24/2014,5
KA/KU LNB SWM 3,MASC906491,1-1M40P2O6,4/24/2014,0
ODU UPGRADE,MASC906491,1-1M40P2O6,4/24/2014,22
Swap Replace,MASC906491,1-1M40P2O6,4/24/2014,5
Swap Replace,MASC906491,1-1M40P2O6,4/24/2014,5
KA/KU LNB SWM 5,MASC995144,1-1M3MTZ1T,4/24/2014,0
SWM ODU HARDWARE,MASC995144,1-1M3MTZ1T,4/24/2014,0
Upgrade,MASC998231,1-1M3X3DZR,4/25/2014,25
SUBSIDY,MASC998231,1-1M3X3DZR,4/25/2014,0
New Install,MASC995439,1-1LVOR358,4/25/2014,60
SUBSIDY,MASC995439,1-1LVOR358,4/25/2014,0
New Install,MASC994575,1-1M1G1UDM,4/25/2014,60
SUBSIDY,MASC994575,1-1M1G1UDM,4/25/2014,0
New Install,MASC998231,1-1M4UISCL,4/25/2014,60
SUBSIDY,MASC998231,1-1M4UISCL,4/25/2014,0
Former Install,MASC911659,1-1M18XSUI,4/25/2014,60
New Install,MASC995214,1-1M3XEKZQ,4/25/2014,60
SUBSIDY,MASC995214,1-1M3XEKZQ,4/25/2014,0
Upgrade,MASC995440,1-1M4GSYSE,4/25/2014,25
SUBSIDY,MASC995440,1-1M4GSYSE,4/25/2014,0
New Install,MASC995440,1-1M51TQJ4,4/25/2014,60
SUBSIDY,MASC995440,1-1M51TQJ4,4/25/2014,0
Upgrade,MASC995569,1-1M53659D,4/25/2014,25
SUBSIDY,MASC995569,1-1M53659D,4/25/2014,0
Former Install,MASC995214,1-1LVWLMRG,4/25/2014,60
SUBSIDY,MASC995214,1-1LVWLMRG,4/25/2014,0
SUBSIDY,MASC911659,1-1M18XSUI,4/25/2014,0
SUBSIDY,MASC911659,1-1M502QEJ,4/25/2014,0
Former Install,MASC906491,1-1M06HJL9,4/25/2014,60
SUBSIDY,MASC906491,1-1M06HJL9,4/25/2014,0
Upgrade,MASC998237,1-1M06XHT8,4/25/2014,25
SUBSIDY,MASC998237,1-1M06XHT8,4/25/2014,0
Upgrade,MASC906491,1-1M4NOTMX,4/25/2014,25
SUBSIDY,MASC906491,1-1M4NOTMX,4/25/2014,0
Service,MASC911659,1-1M502QEJ,4/25/2014,37
Upgrade,MASC997093,1-1LZ015ET,4/19/2014,25
SWM ODU HARDWARE,MASC998231,1-1LYSCHMN,4/19/2014,0
KA/KU LNB SWM LABOR,MASC998231,1-1LYSCHMN,4/19/2014,8
IRD - CLIENT,MASC998231,1-1LYSCHMN,4/19/2014,15.25
IRD - CLIENT,MASC998231,1-1LYSCHMN,4/19/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC998231,1-1LYSCHMN,4/19/2014,19
System Swap,MASC995144,1-1LYUSCDY,4/19/2014,5
"""ODU - 18""""""",MASC995144,1-1LYUSCDY,4/19/2014,0
ODU UPGRADE,MASC995144,1-1LYUSCDY,4/19/2014,22
MULTI-SWITCH 2X4,MASC995144,1-1LYUSCDY,4/19/2014,0
MULTI-SWITCH KA 6X8,MASC995144,1-1LYUSCDY,4/19/2014,0
ODU RELOCATE,MASC995144,1-1LYUSCDY,4/19/2014,18
ODU RELOCATE,MASC995214,1-1LZC85EC,4/19/2014,18
NON DIRECTV EQUIPMENT,MASC995214,1-1LZC85EC,4/19/2014,22
KA/KU LNB SWM 3,MASC995214,1-1LZC85EC,4/19/2014,0
MRV ENABLED,MASC995214,1-1LZC85EC,4/19/2014,0
KA/KU LNB SWM 5,MASC913802,1-1LYKB2KS,4/19/2014,0
SWM ODU HARDWARE,MASC913802,1-1LYKB2KS,4/19/2014,0
KA/KU LNB SWM LABOR,MASC913802,1-1LYKB2KS,4/19/2014,8
IRD - STANDARD,MASC913802,1-1LYKB2KS,4/19/2014,19
IRD - STANDARD,MASC913802,1-1LYKB2KS,4/19/2014,19
IRD - STANDARD,MASC913802,1-1LYKB2KS,4/19/2014,19
RECEIVER DECA,MASC998231,1-1LWT7WBF,4/19/2014,0
KA/KU LNB SWM 3,MASC998231,1-1LWT7WBF,4/19/2014,0
SWM ODU HARDWARE,MASC998231,1-1LWT7WBF,4/19/2014,0
KA/KU LNB SWM LABOR,MASC998231,1-1LWT7WBF,4/19/2014,8
IRD - HD/DVR COMBO,MASC998231,1-1LWT7WBF,4/19/2014,19
KA/KU LNB LABOR,MASC998231,1-1LWT7WBF,4/19/2014,17
MRV ENABLED,MASC998231,1-1LWT7WBF,4/19/2014,0
KA/KU LNB SWM 3,MASC995569,1-1LYQNIRU,4/19/2014,0
IRD - CLIENT,MASC995569,1-1LYQNIRU,4/19/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC995569,1-1LYQNIRU,4/19/2014,19
SWM ODU HARDWARE,MASC995569,1-1LYQNIRU,4/19/2014,0
KA/KU LNB SWM LABOR,MASC995569,1-1LYQNIRU,4/19/2014,8
NON DIRECTV EQUIPMENT,MASC995569,1-1LU8KKD2,4/19/2014,22
MRV ENABLED,MASC995569,1-1LU8KKD2,4/19/2014,0
IRD - ADVANCED WHOLE-HOME DVR,MASC995569,1-1LW3CP5P,4/19/2014,19
KA/KU LNB SWM 3,MASC995569,1-1LW3CP5P,4/19/2014,0
"""ODU - 18""""""",MASC998231,1-1LYBB816,4/19/2014,0
MULTI-SWITCH 2X4,MASC998231,1-1LYBB816,4/19/2014,0
IRD - STANDARD,MASC998231,1-1LYBB816,4/19/2014,19
IRD - DVR,MASC998231,1-1LYBB816,4/19/2014,19
SWM ODU HARDWARE,MASC995569,1-1LW3CP5P,4/19/2014,0
KA/KU LNB SWM LABOR,MASC995569,1-1LW3CP5P,4/19/2014,8
IRD - CLIENT,MASC995569,1-1LW3CP5P,4/19/2014,15.25
IRD - CLIENT,MASC995569,1-1LW3CP5P,4/19/2014,15.25
IRD - CLIENT,MASC995569,1-1LW3CP5P,4/19/2014,15.25
IRD - KA/KU,MASC995569,1-1LW3CP5P,4/19/2014,19
IRD - KA/KU,MASC995569,1-1LW3CP5P,4/19/2014,19
IRD - KA/KU,MASC995569,1-1LW3CP5P,4/19/2014,19
MRV ENABLED,MASC995569,1-1LW3CP5P,4/19/2014,0
MULTI-SWITCH 2X4,MASC998397,1-1LDUKNCH,4/19/2014,0
KA/KU LNB SWM 3,MASC996962,1-1LYT9U5I,4/19/2014,0
SWM ODU HARDWARE,MASC996962,1-1LYT9U5I,4/19/2014,0
IRD - CLIENT,MASC996962,1-1LYT9U5I,4/19/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC996962,1-1LYT9U5I,4/19/2014,19
KA/KU LNB SWM LABOR,MASC996962,1-1LYT9U5I,4/19/2014,8
MULTI-SWITCH KA 6X8,MASC998231,1-1LYBB816,4/19/2014,0
IRD - HD/DVR COMBO,MASC997093,1-1LZAU9LM,4/19/2014,19
ODU UPGRADE,MASC997093,1-1LZAU9LM,4/19/2014,22
RECEIVER DECA,MASC997093,1-1LZAU9LM,4/19/2014,0
MRV ENABLED,MASC997093,1-1LZAU9LM,4/19/2014,0
KA/KU LNB SWM 3,MASC998231,1-1LZ56LXC,4/19/2014,0
ODU UPGRADE,MASC998231,1-1LZ56LXC,4/19/2014,22
SWM ODU HARDWARE,MASC998231,1-1LZ56LXC,4/19/2014,0
Swap Replace,MASC998231,1-1LZ56LXC,4/19/2014,5
System Swap,MASC998231,1-1LZ56LXC,4/19/2014,5
KA/KU LNB SWM LABOR,MASC998231,1-1LZ56LXC,4/19/2014,8
MRV ENABLED,MASC996962,1-1LYT9U5I,4/19/2014,0
KA/KU LNB SWM 3,MASC996962,1-1LJ6EBS2,4/19/2014,0
SWM ODU HARDWARE,MASC996962,1-1LJ6EBS2,4/19/2014,0
IRD - KA/KU,MASC996962,1-1LJ6EBS2,4/19/2014,19
IRD - HD/DVR COMBO,MASC996962,1-1LJ6EBS2,4/19/2014,19
KA/KU LNB SWM LABOR,MASC996962,1-1LJ6EBS2,4/19/2014,8
MRV ENABLED,MASC996962,1-1LJ6EBS2,4/19/2014,0
"""ODU - 18""""""",MASC995440,1-1LYYZ19P,4/19/2014,0
IRD - STANDARD,MASC995440,1-1LYYZ19P,4/19/2014,19
"""ODU - 18""""""",MASC998397,1-1LDUKNCH,4/19/2014,0
IRD - STANDARD,MASC998397,1-1LDUKNCH,4/19/2014,19
IRD - STANDARD,MASC998397,1-1LDUKNCH,4/19/2014,19
KA/KU LNB LABOR,MASC998231,1-1LZ56LXC,4/19/2014,17
MRV ENABLED,MASC998231,1-1LZ56LXC,4/19/2014,0
KA/KU LNB SWM 3,MASC995214,1-1LS57H7H,4/19/2014,0
SWM ODU HARDWARE,MASC995214,1-1LS57H7H,4/19/2014,0
KA/KU LNB SWM LABOR,MASC995214,1-1LS57H7H,4/19/2014,8
IRD - CLIENT,MASC995214,1-1LS57H7H,4/19/2014,15.25
IRD - CLIENT,MASC995214,1-1LS57H7H,4/19/2014,15.25
KA/KU LNB SWM 3,MASC995569,1-1LU8KKD2,4/19/2014,0
ODU UPGRADE,MASC995569,1-1LU8KKD2,4/19/2014,22
SWM ODU HARDWARE,MASC995569,1-1LU8KKD2,4/19/2014,0
KA/KU LNB SWM LABOR,MASC995569,1-1LU8KKD2,4/19/2014,8
Swap Replace,MASC995569,1-1LU8KKD2,4/19/2014,5
Swap Replace,MASC995569,1-1LU8KKD2,4/19/2014,5
IRD - ADVANCED WHOLE-HOME DVR,MASC995214,1-1LS57H7H,4/19/2014,19
BS FILTER,MASC995064,1-1LZ8TAQD,4/19/2014,0
IRD - STANDARD,MASC995064,1-1LZ8TAQD,4/19/2014,19
IRD - STANDARD,MASC995064,1-1LZ8TAQD,4/19/2014,19
IRD - STANDARD,MASC995064,1-1LZ8TAQD,4/19/2014,19
IRD - DVR,MASC995064,1-1LZ8TAQD,4/19/2014,19
"""ODU - 18""""""",MASC995064,1-1LZ8TAQD,4/19/2014,0
MULTI-SWITCH SWM 8,MASC995064,1-1LZ8TAQD,4/19/2014,0
MULTI-SWITCH SWM 16,MASC995064,1-1LZ8TAQD,4/19/2014,0
MULTI-SWITCH KA 6X8,MASC995064,1-1LZ8TAQD,4/19/2014,0
KA/KU LNB SWM 3,MASC995144,1-1LVWKKUL,4/19/2014,0
SWM ODU HARDWARE,MASC995144,1-1LVWKKUL,4/19/2014,0
KA/KU LNB SWM LABOR,MASC995144,1-1LVWKKUL,4/19/2014,8
IRD - KA/KU,MASC995144,1-1LVWKKUL,4/19/2014,19
IRD - KA/KU,MASC995144,1-1LVWKKUL,4/19/2014,19
MRV ENABLED,MASC995144,1-1LVWKKUL,4/19/2014,0
MULTI-SWITCH 2X4,MASC995440,1-1LYYZ19P,4/19/2014,0
IRD - CLIENT,MASC997565,1-1LYPZWSE,4/19/2014,15.25
Swap Replace,MASC997565,1-1LYPZWSE,4/19/2014,5
IRD - CLIENT,MASC997565,1-1LYPZWSE,4/19/2014,15.25
NON DIRECTV EQUIPMENT,MASC997565,1-1LYPZWSE,4/19/2014,22
MRV ENABLED,MASC997565,1-1LYPZWSE,4/19/2014,0
BS FILTER,MASC907665,1-1LZICORA,4/19/2014,0
IRD - STANDARD,MASC907665,1-1LZICORA,4/19/2014,19
IRD - DVR,MASC907665,1-1LZICORA,4/19/2014,19
BS FILTER,MASC907665,1-1LZICORA,4/19/2014,0
KA/KU LNB 3,MASC907665,1-1LZICORA,4/19/2014,0
ODU HARDWARE,MASC907665,1-1LZICORA,4/19/2014,0
KA/KU LNB LABOR,MASC907665,1-1LZICORA,4/19/2014,17
"""ODU - 18""""""",MASC907665,1-1LZICORA,4/19/2014,0
MULTI-SWITCH 2X4,MASC907665,1-1LZICORA,4/19/2014,0
KA/KU LNB SWM 3,MASC995440,1-1LYB4FL8,4/19/2014,0
SWM ODU HARDWARE,MASC995440,1-1LYB4FL8,4/19/2014,0
KA/KU LNB SWM LABOR,MASC995440,1-1LYB4FL8,4/19/2014,8
IRD - CLIENT,MASC995440,1-1LYB4FL8,4/19/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC995440,1-1LYB4FL8,4/19/2014,19
BS FILTER,MASC995064,1-1LZLTVTX,4/19/2014,0
BS FILTER,MASC995064,1-1LZLTVTX,4/19/2014,0
BS FILTER,MASC995064,1-1LZLTVTX,4/19/2014,0
MULTI-SWITCH SWM 16,MASC995064,1-1LZLTVTX,4/19/2014,0
Swap Replace,MASC995064,1-1LZLTVTX,4/19/2014,5
Swap Relocate,MASC995064,1-1LZLTVTX,4/19/2014,5
IRD - HD/DVR COMBO,MASC995064,1-1LZLTVTX,4/19/2014,19
ODU RELOCATE,MASC995064,1-1LZLTVTX,4/19/2014,18
MRV ENABLED,MASC995064,1-1LZLTVTX,4/19/2014,0
KA/KU LNB SWM 3,MASC995064,1-1LX8QTKX,4/19/2014,0
SWM ODU HARDWARE,MASC995064,1-1LX8QTKX,4/19/2014,0
KA/KU LNB SWM LABOR,MASC995064,1-1LX8QTKX,4/19/2014,8
