ITEM,TECH NUMBER,ACTIVITY CSG NUMBER,ACTIVITY CLOSED DATE,LINE AMOUNT
MULTI-SWITCH 2X4,MASC906491,1-1M2A0FAX,4/23/2014,0
MULTI-SWITCH SWM 16,MASC911659,1-1M09B1TT,4/23/2014,0
SWM ODU HARDWARE,MASC995569,1-1M2PF84T,4/23/2014,0
KA/KU LNB SWM LABOR,MASC995144,1-1M2O1CUM,4/23/2014,8
IRD - CLIENT,MASC995144,1-1M2O1CUM,4/23/2014,15.25
IRD - CLIENT,MASC995144,1-1M2O1CUM,4/23/2014,15.25
IRD - CLIENT,MASC995144,1-1M2O1CUM,4/23/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC995144,1-1M2O1CUM,4/23/2014,19
SWM ODU HARDWARE,MASC995144,1-1M2O1CUM,4/23/2014,0
KA/KU LNB SWM 3,MASC995569,1-1M1BHING,4/23/2014,0
ODU UPGRADE,MASC995569,1-1M1BHING,4/23/2014,22
KA/KU LNB SWM 3,MASC913802,1-1M20Q4TV,4/23/2014,0
ODU UPGRADE,MASC913802,1-1M20Q4TV,4/23/2014,22
SWM ODU HARDWARE,MASC913802,1-1M20Q4TV,4/23/2014,0
KA/KU LNB SWM LABOR,MASC913802,1-1M20Q4TV,4/23/2014,8
Swap Replace,MASC913802,1-1M20Q4TV,4/23/2014,5
Swap Replace,MASC913802,1-1M20Q4TV,4/23/2014,5
KA/KU LNB LABOR,MASC911659,1-1M09B1TT,4/23/2014,17
MRV ENABLED,MASC911659,1-1M09B1TT,4/23/2014,0
KA/KU LNB SWM 3,MASC995144,1-1M2O1CUM,4/23/2014,0
SWM ODU HARDWARE,MASC995144,1-1M2O1CUM,4/23/2014,0
KA/KU LNB SWM 3,MASC995214,1-1LYVU1N3,4/23/2014,0
SWM ODU HARDWARE,MASC995214,1-1LYVU1N3,4/23/2014,0
KA/KU LNB SWM LABOR,MASC995214,1-1LYVU1N3,4/23/2014,8
IRD - ADVANCED WHOLE-HOME DVR,MASC995214,1-1LYVU1N3,4/23/2014,19
BS FILTER,MASC997093,1-1M2RT2B0,4/23/2014,0
ODU UPGRADE,MASC997093,1-1M2RT2B0,4/23/2014,22
IRD - CLIENT,MASC995440,1-1M2Z8AYW,4/23/2014,15.25
KA/KU LNB SWM 3,MASC995440,1-1M2Z8AYW,4/23/2014,0
SWM ODU HARDWARE,MASC995440,1-1M2Z8AYW,4/23/2014,0
KA/KU LNB SWM LABOR,MASC995440,1-1M2Z8AYW,4/23/2014,8
KA/KU LNB SWM 3,MASC995569,1-1M2PF84T,4/23/2014,0
SUBSIDY,MASC999035,1-1LYEGZY8,4/23/2014,0
New Install,MASC998237,1-1M1ACT67,4/23/2014,60
SUBSIDY,MASC998237,1-1M1ACT67,4/23/2014,0
Upgrade,MASC913802,1-1M1ACWHO,4/23/2014,25
